DATEPRD,WELL_BORE_CODE,NPD_WELL_BORE_CODE,NPD_WELL_BORE_NAME,NPD_FIELD_CODE,NPD_FIELD_NAME,NPD_FACILITY_CODE,NPD_FACILITY_NAME,ON_STREAM_HRS,AVG_CHOKE_SIZE_P,AVG_CHOKE_UOM,FLOW_KIND,WELL_TYPE,AVG_DOWNHOLE_PRESSURE_PSI,AVG_DOWNHOLE_TEMPERATURE_F,AVG_DP_TUBING_PSI,AVG_ANNULUS_PRESS_PSI,DP_CHOKE_SIZE_PSI,AVG_WHP_P_PSI,AVG_WHT_P,BORE_OIL_VOL_STB_D,BORE_GAS_VOL_MSCF_D,BORE_WAT_VOL_STB_D,GOR_MSCF/STB,WCUT,AVG_CHOKE_SIZE_P_WAS_MISSING,AVG_DOWNHOLE_PRESSURE_PSI_WAS_MISSING,AVG_DOWNHOLE_TEMPERATURE_F_WAS_MISSING,AVG_DP_TUBING_PSI_WAS_MISSING,AVG_ANNULUS_PRESS_PSI_WAS_MISSING,DP_CHOKE_SIZE_PSI_WAS_MISSING,AVG_WHP_P_PSI_WAS_MISSING,AVG_WHT_P_WAS_MISSING,GOR_MSCF/STB_WAS_MISSING,WCUT_WAS_MISSING
2015-07-06,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,23.904737916666665,%,production,OP,3186.308759695,222.764605625,2545.70470978125,251.0734083925,225.282204318375,640.6040499137499,172.49790424999998,9474.9068859,7825.643229751,7210.8897764,0.8259335235680957,0.4321573564834535,0,0,0,0,0,0,0,0,0,0
2015-07-07,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,23.951740208333334,%,production,OP,3185.497214674125,222.757704875,2546.924748285875,249.8198449585,223.056420954125,638.5724663882501,172.172958875,9439.2436632,7762.917965905,7405.685192100001,0.8224088966120927,0.4396388524828892,0,0,0,0,0,0,0,0,0,0
2015-07-08,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,23.938967916666662,%,production,OP,3184.025592650375,222.748881125,2548.461102582,247.47427531437495,219.9751339685,635.564490068375,171.806486,9319.9259675,7709.568754909001,6905.708195200001,0.8272135188405402,0.4256048254234069,0,0,0,0,0,0,0,0,0,0
2015-07-09,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,24.0008175,%,production,OP,3183.6870890665,222.74036825,2550.59265959225,245.718203556375,217.837542773125,633.09442947425,170.90258225000002,9266.4625825,7638.874022714001,6663.361815900001,0.8243570785188568,0.4182947438246257,0,0,0,0,0,0,0,0,0,0
2015-07-10,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,24.00844042553192,%,production,OP,3184.648996769234,222.73644429787237,2553.4188007557445,248.5240109194468,216.04659278348936,631.2301960134894,171.48992919148935,9197.1488763,7571.255200889001,6773.622185200001,0.8232176408929575,0.424126183959199,0,0,0,0,0,0,0,0,0,0
2015-07-11,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,23.98199234042553,%,production,OP,3184.3775905543407,222.7334394468085,2555.692623200043,246.60137484778724,213.55592618553192,628.6849673542979,171.22280689361702,9037.3248042,7525.378580413,6679.0863409,0.8326998025915436,0.4249752872482201,0,0,0,0,0,0,0,0,0,0
2015-07-12,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,23.958085625,%,production,OP,3186.321242027875,222.72172029787237,2559.9050115301307,246.019837272,211.17582483229788,626.4162304977447,171.51942965957448,8974.804092800001,7411.410627426,6554.862593400001,0.8258019396068794,0.4220864958566557,0,0,0,0,0,0,0,0,0,0
2015-07-13,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,23.418301041666663,%,production,OP,3190.7869308672766,222.70955536170212,2565.1802160799148,248.43739237429787,207.5565527521277,625.6067147873617,172.6227078723404,8915.3653883,7381.140985468,7240.577679600001,0.8279123360613547,0.4481680610763103,0,0,0,0,0,0,0,0,0,0
2015-07-14,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,23.910957916666668,%,production,OP,3191.2591302352503,222.712099625,2570.3562354676246,245.71376176762504,206.31938626262504,620.902894767625,172.8358265,8882.6583763,7354.802222767,7251.773541400001,0.8279956192383235,0.4494594900143071,0,0,0,0,0,0,0,0,0,0
2015-07-15,NO 15/9-F-11 H,7078,15/9-F-11,3420717,VOLVE,369304,MÆRSK INSPIRER,24.0,23.91775708333333,%,production,OP,3191.52510575425,222.71567375,2572.7511119885,244.0127893415,203.97564168,618.77399376575,172.619129375,8768.4354267,7273.2743532,7113.209027100001,0.8294837105206688,0.4478886961480883,0,0,0,0,0,0,0,0,0,0
